TitleType,Title,StartYear,RunTimeMins,Genres
movie,Hempsters: Plant the Seed,2010,90,Documentary
movie,Disconnect,2010,112,Drama
movie,The Stanford Prison Experiment,2015,122,Biography
movie,Venus & Vegas,2010,95,Action
movie,The Ninth Cloud,2014,93,Drama
movie,El borde del tiempo,2011,100,Drama
movie,Beisbol,2010,\N,Documentary
movie,Pots and Pans,2012,\N,Drama
movie,Dinner for Schmucks,2010,114,Comedy
movie,Masters of the Universe,2019,\N,Action
movie,The A-Team,2010,117,Action
movie,The Rescuer,2011,84,Documentary
movie,The Possession,2012,92,Horror
movie,The Queen of Sheba Meets the Atom Man,2018,110,Comedy
movie,Real Steel,2011,127,Action
movie,Satin,2011,84,Comedy
movie,Caleuche: El llamado del Mar,2012,100,Drama
movie,L'apocalisse delle scimmie,2012,\N,Drama
movie,The Giver,2014,97,Drama
movie,Toy Story 3,2010,103,Adventure
movie,Project x27,2010,\N,Horror
movie,Alita: Battle Angel,2018,\N,Action
movie,"Cargo, les hommes perdus.",2010,93,Adventure
movie,Untitled The Flash Film,2020,\N,Action
movie,Moving Target,2011,\N,Drama
movie,Segurança Nacional,2010,86,Action
movie,Stolen Memories,2012,\N,Documentary
movie,My Nappy Roots: A Journey Through Black Hair-itage,2010,90,Documentary
movie,Danger Close,2019,\N,Action
movie,Lincoln,2012,150,Biography
movie,Milenge Milenge,2010,109,Drama
movie,Before We Go,2014,95,Comedy
movie,The History of Love,2016,134,Drama
movie,Vidas pequeñas,2010,115,Drama
movie,7 Days,2010,105,Crime
movie,Scott Pilgrim vs. the World,2010,112,Action
movie,Dream Street,2010,\N,Drama
movie,Surviving in L.A.,2018,\N,Comedy
movie,A Bird of the Air,2011,108,Drama
movie,Shazam!,2019,\N,Action
movie,Puss in Boots,2011,90,Action
movie,Diary of a Bad Lad,2010,92,Comedy
movie,Mad World,2010,98,Drama
movie,The Passing,2011,92,Horror
movie,Clawed,2017,95,Horror
movie,Wonder Woman,2017,141,Action
movie,Blunt Movie,2013,83,Comedy
movie,Party Crashers,2012,88,Comedy
movie,42,2013,128,Biography
movie,El hada buena - Una fábula peronista,2010,85,Comedy
movie,Life of Pi,2012,127,Adventure
movie,Being Flynn,2012,102,Drama
movie,The Crazies,2010,101,Horror
movie,The Equalizer,2014,132,Action
movie,Memorias del desarrollo,2010,113,Drama
movie,Captain America: The First Avenger,2011,124,Action
movie,A Long Way Down,2014,96,Comedy
movie,Sin City: A Dame to Kill For,2014,102,Crime
movie,Generation P,2011,112,Comedy
movie,Drunkboat,2010,98,Drama
movie,The Grasslands,2011,114,Drama
movie,The Only Living Boy in New York,2017,89,Drama
movie,Texxas Jam '78,2012,60,Documentary
movie,Saving Private Perez,2011,105,Adventure
movie,Steve Phoenix: The Untold Story,2012,110,Drama
movie,High-Rise,2015,119,Drama
movie,Satan Hates You,2010,94,Horror
movie,Silent Alarm,2011,82,Comedy
movie,Federal,2010,\N,Drama
movie,The Devil You Know,2013,76,Mystery
movie,"Guns, Drugs and Dirty Money",2010,123,Action
movie,House at the End of the Drive,2014,91,Horror
movie,Piranha 3D,2010,88,Comedy
movie,Komaram Puli,2010,163,Action
movie,Act Your Age,2011,101,Comedy
movie,Taken by Force,2010,90,Action
movie,Sensual,2010,99,Drama
movie,Golapi Ekhon Bilatey,2010,\N,Musical
movie,Margaret,2011,150,Drama
movie,Alan Partridge,2013,90,Action
movie,Harlem Hostel,2010,81,Comedy
movie,Smoking/Non-Smoking,2011,84,Drama
movie,Platinum Illusions,2011,\N,Action
movie,Ex Machina,2014,108,Drama
movie,"Hot Country, Cold Winter",2016,104,Drama
movie,Tower Heist,2011,104,Action
movie,The Smurfs,2011,103,Adventure
movie,The Mechanic,2011,93,Action
movie,Escape from Heaven,2018,\N,Comedy
movie,Prince of Persia: The Sands of Time,2010,116,Action
movie,Stan,2011,\N,Comedy
movie,Bamboo Shark,2011,\N,Comedy
movie,Cielito lindo,2010,91,Drama
movie,Clutch,2012,\N,Action
movie,"Hail, Caesar!",2016,106,Comedy
movie,Persona Au Gratin,2012,93,Comedy
movie,The Deafening Silence of a Very Bright Light,2010,92,Drama
movie,Stiffs,2010,104,Comedy
movie,Unstoppable,2010,98,Action
movie,Sid Bernstein Presents...,2010,100,Documentary
movie,Extremely Loud & Incredibly Close,2011,129,Adventure
movie,The Tree of Life,2011,139,Drama
movie,El horror de la dama del lago,2010,90,Fantasy
movie,Ant-Man,2015,117,Action
movie,The Greater Meaning of Water,2010,60,Drama
movie,Perfect Life,2010,98,Horror
movie,Abhishapt,2011,\N,Drama
movie,Season of the Witch,2011,95,Action
movie,Atlas Shrugged: Part I,2011,97,Drama
movie,The Losers,2010,97,Action
movie,Hall Pass,2011,105,Comedy
movie,Felix Austria!,2013,77,Biography
movie,The Croods,2013,98,Action
movie,Bandage,2010,119,Drama
movie,Barry Munday,2010,95,Comedy
movie,Chasing 3000,2010,115,Family
movie,Monkey Man,2011,\N,Comedy
movie,A Woman Is a Woman,2010,102,Comedy
movie,Gente mala del norte,2011,97,Drama
movie,La daga de Rasputín,2011,99,Adventure
movie,U Want Me 2 Kill Him?,2013,92,Drama
movie,Sushi in Suhl,2012,100,Comedy
movie,Red Tails,2012,125,Action
movie,Making Change,2012,94,Drama
movie,Aftermath,2013,84,Crime
movie,PrimeMates,2010,82,Comedy
movie,Silence,2016,161,Adventure
movie,The Invited,2010,95,Horror
movie,Double Tap,2011,100,Action
movie,Something Borrowed,2011,112,Comedy
movie,Suburbicon,2017,105,Crime
movie,Tulip Fever,2017,105,Drama
movie,Furry Vengeance,2010,92,Comedy
movie,Nina,2016,90,Biography
movie,CHIPS,2017,100,Action
movie,Ramona and Beezus,2010,103,Adventure
movie,Good Sharma,2010,100,Drama
movie,Bad Blood,2012,107,Horror
movie,O Inimigo Sem Rosto,2010,85,Crime
movie,Prisoners of the Sun,2013,85,Action
movie,The Hero of Color City,2014,77,Animation
movie,Rings,2017,102,Drama
movie,Tranced,2010,\N,Drama
movie,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2010,116,Biography
movie,Love & Other Drugs,2010,112,Comedy
movie,Syrup,2013,90,Comedy
movie,A Thousand Words,2012,91,Comedy
movie,Escape from Planet Earth,2013,89,Adventure
movie,Have You Seen Me?,2016,\N,Comedy
movie,Horrorween,2011,\N,Comedy
movie,The Legend of Secret Pass,2010,92,Animation
movie,Waste of Space,2010,78,Adventure
movie,Me and My Umbrella,2010,78,Family
movie,Night of the Templar,2013,101,Horror
movie,What's Your Number?,2011,106,Comedy
movie,California Indian,2011,90,Drama
movie,King of the Avenue,2010,83,Drama
movie,Samsara,2011,102,Documentary
movie,Till You Get to Baraboo,2011,80,Comedy
movie,Man of Steel,2013,143,Action
movie,Jersey Justice,2014,100,Action
movie,Kill,2011,90,Comedy
movie,The Chosen Heaven,2010,123,Drama
movie,Cell,2016,98,Action
movie,The Rain Fairy,2010,100,Family
movie,The Illusionist,2010,80,Animation
movie,Night Catches Us,2010,90,Drama
movie,Drive,2011,100,Crime
movie,Kid Cannabis,2014,110,Biography
movie,Santorini Blue,2013,90,Comedy
movie,War of the Dead,2011,86,Action
movie,The Wolfman,2010,103,Drama
movie,Escalade,2011,80,Thriller
movie,Irreversi,2010,\N,Thriller
movie,The Last Full Measure,2018,\N,Drama
movie,The Attack,2012,102,Drama
movie,The Boxtrolls,2014,96,Adventure
movie,The Man Who Knew Infinity,2015,108,Biography
movie,The Incredible Burt Wonderstone,2013,100,Adventure
movie,Dallas Buyers Club,2013,117,Biography
movie,Elliot Loves,2012,92,Comedy
movie,The First Grader,2010,103,Biography
movie,Jack Reacher,2012,130,Action
movie,R.I.P.D.,2013,96,Action
movie,Miles Ahead,2015,100,Biography
movie,The Yellow Wallpaper,2012,115,Thriller
movie,Wilde Salomé,2011,95,Documentary
movie,Scary Movie 5,2013,86,Comedy
movie,13,2010,91,Drama
movie,The Guardians,2010,88,Comedy
movie,Ironmen,2010,119,Biography
movie,Clash of the Titans,2010,106,Action
movie,Nemesis,2010,83,Drama
movie,Thor,2011,115,Action
movie,Red Dog,2011,92,Biography
movie,Warcraft,2016,123,Action
movie,Devil's Knot,2013,114,Biography
movie,Folk!,2010,\N,Documentary
movie,It's Kind of a Funny Story,2010,101,Comedy
movie,The Mule,2013,100,Comedy
movie,Spoon,2011,\N,Action
movie,A Letter to Elia,2010,60,Documentary
movie,The Last Pogo Jumps Again,2013,200,Documentary
movie,Tooth Fairy,2010,101,Comedy
movie,Belle du Seigneur,2012,104,Drama
movie,Cross the Line,2010,87,Action
movie,The Danish Girl,2015,119,Biography
movie,Eyes of the Mothman,2011,150,Documentary
movie,Jack and Jill,2011,91,Comedy
movie,Take Me Home Tonight,2011,97,Comedy
movie,Plumíferos - Aventuras voladoras,2010,80,Adventure
movie,Lavoe,2011,90,Drama
movie,The Do-Deca-Pentathlon,2012,76,Comedy
movie,Meridian Lines,2013,\N,Drama
movie,American Flyer,2010,100,Adventure
movie,Percy Jackson & the Olympians: The Lightning Thief,2010,118,Adventure
movie,Art Officially Favored,2019,90,Biography
movie,Ashes,2010,\N,Drama
movie,She's Out of My League,2010,104,Comedy
movie,Card Subject to Change,2010,87,Documentary
movie,The Book Thief,2013,131,Drama
movie,Conan the Barbarian,2011,113,Action
movie,Shanghai Hotel,2011,110,Drama
movie,Interstellar,2014,169,Adventure
movie,World War Z,2013,116,Action
movie,Flipped,2010,90,Comedy
movie,Valentine's Day,2010,125,Comedy
movie,The Power of Few,2013,96,Action
movie,Dreamkiller,2010,110,Thriller
movie,Soupernatural,2010,\N,Drama
movie,Manhattan Minutiae,2016,99,Comedy
movie,Priest,2011,87,Action
movie,The Long Falling,2011,105,Drama
movie,Maximum Ride,2016,88,Action
movie,Caravaggio and My Mother the Pope,2018,90,Comedy
movie,Return to Yucca Flats: Desert Man-Beast,2010,79,Comedy
movie,Magic,2010,\N,Adventure
movie,Wild in the Streets,2012,82,Documentary
movie,Dracula Untold,2014,92,Action
movie,Gallowwalkers,2012,90,Action
movie,Waking Madison,2010,89,Drama
movie,Godzilla,2014,123,Action
movie,Land,2010,76,Documentary
movie,The Babymakers,2012,95,Comedy
movie,Electric Slide,2014,95,Action
movie,Krystal,2017,90,Comedy
movie,Pee-wee's Big Holiday,2016,90,Adventure
movie,Approaching Midnight,2013,86,Crime
movie,Hotel Transylvania,2012,91,Animation
movie,Pet Sematary,2019,\N,Horror
movie,Retreat!,2016,\N,Comedy
movie,Bhopal: A Prayer for Rain,2014,96,Drama
movie,Everyday Sunshine: The Story of Fishbone,2010,107,Documentary
movie,The Town,2010,125,Crime
movie,Río de oro,2010,\N,Western
movie,Whatever Happened to Pete Blaggit?,2012,94,Comedy
movie,The Kids Are All Right,2010,106,Comedy
movie,The Fallen Word,2013,60,Drama
movie,Ivan Mosjoukine ou L'enfant du carnaval,2016,67,Documentary
movie,Killer by Nature,2010,94,Adventure
movie,Pox,2011,100,Comedy
movie,Hoodwinked Too! Hood vs. Evil,2011,86,Animation
movie,Gangster Exchange,2010,95,Action
movie,Loot,2011,\N,Action
movie,Neowolf,2010,88,Horror
movie,Night Traveler,2013,\N,Adventure
movie,Fun in the Army,2010,\N,Comedy
movie,The Speed of Thought,2011,93,Sci-Fi
movie,The Avengers,2012,143,Action
movie,Epic,2013,102,Adventure
movie,The Sighting,2016,98,Horror
movie,Duel of Legends,2018,\N,Action
movie,Jack & Diane,2012,110,Drama
movie,Jackson Arms,2015,90,Romance
movie,Risen,2010,121,Biography
movie,Sir Billi,2012,76,Adventure
movie,Folie à deux,2012,\N,Drama
movie,Bloudím,2010,75,Drama
movie,Naked Run,2011,84,Comedy
movie,A Summer Song,2010,\N,Drama
movie,This Is What Love in Action Looks Like,2011,74,Documentary
movie,Great American Dream,2013,90,Drama
movie,Kolorádó Kid,2010,111,Drama
movie,The Sweeney,2012,112,Action
movie,2001 Maniacs: Field of Screams,2010,84,Comedy
movie,Immortal Island,2011,84,Adventure
movie,Wide Blue Yonder,2010,82,Comedy
movie,The Golden Greek: The Harry Agganis Story,2010,\N,Documentary
movie,Super Troopers 2,2018,99,Comedy
movie,Evangelion: 3.0 You Can (Not) Redo,2012,96,Action
movie,Zenitram,2010,103,Action
movie,Lupin the 3rd,2014,133,Action
movie,Dukun,2018,108,Horror
movie,Mr. Peabody & Sherman,2014,92,Adventure
movie,Letting Go,2012,83,Drama
movie,6 Month Rule,2011,100,Comedy
movie,Catharsis,2011,89,Mystery
movie,Jungle Cruise,2019,\N,Adventure
movie,Touch Wood,2010,\N,Comedy
movie,The Nightclub Days,2012,\N,Comedy
movie,"Surprise, Surprise",2010,83,Drama
movie,My Soul to Take,2010,107,Horror
movie,Red State,2011,88,Action
movie,The Dot Man,2017,\N,Drama
movie,Beijing Taxi,2010,78,Documentary
movie,The Secret Philosophy,2010,90,Thriller
movie,Rain Falls from Earth: Surviving Cambodia's Darkest Hour,2011,\N,Documentary
movie,Rift,2011,100,Horror
movie,Bury the Hatchet,2010,120,Documentary
movie,Chûshingura,2016,76,\N
movie,Bulletface,2010,82,Thriller
movie,First Circle,2010,72,Documentary
movie,Jewtopia,2012,90,Comedy
movie,Please Give,2010,87,Comedy
movie,Harm's Way,2010,82,Thriller
movie,Torn,2010,\N,Thriller
movie,Eat Pray Love,2010,133,Drama
movie,Mama I Want to Sing,2011,100,Musical
movie,Sanctum,2011,108,Adventure
movie,AIR: The Musical,2010,100,Comedy
movie,Snitch,2013,112,Action
movie,Wreckage,2010,87,Horror
movie,Drain Baby,2011,\N,Horror
movie,Legends of Oz: Dorothy's Return,2013,88,Adventure
movie,The Wedding Ringer,2015,101,Comedy
movie,Hyenas,2011,92,Horror
movie,Repo,2010,97,Comedy
movie,Rollerboy,2013,81,Documentary
movie,Honor,2010,118,Crime
movie,The Switch,2010,101,Comedy
movie,RxCannabis: A Freedom Tale,2018,83,Documentary
movie,Hamlet A.D.D.,2014,95,Animation
movie,Gun of the Black Sun,2011,90,Fantasy
movie,Letters to Juliet,2010,105,Adventure
movie,How to Train Your Dragon,2010,98,Action
movie,Shrek Forever After,2010,93,Adventure
movie,Blur,2011,90,Drama
movie,From Prada to Nada,2011,107,Comedy
movie,The Whistleblower,2010,112,Action
movie,Don't Fade Away,2010,89,Drama
movie,The Key Man,2011,80,Crime
movie,Suite Française,2014,107,Drama
movie,Psych:9,2010,98,Horror
movie,Acts of Violence,2010,\N,Crime
movie,Westbrick Murders,2010,90,Action
movie,The Hobbit: An Unexpected Journey,2012,169,Adventure
movie,Love & Mercy,2014,121,Biography
movie,The Thing,2011,103,Horror
movie,The Grind,2012,85,Crime
movie,The Unlikely's,2016,\N,Comedy
movie,Black Butterflies,2011,100,Biography
movie,Prey,2010,90,Adventure
movie,Eager to Die,2010,109,Drama
movie,Exposed,2012,82,Drama
movie,A Merry Friggin' Christmas,2014,88,Comedy
movie,Movin' In,2010,95,Comedy
movie,House Under Siege,2010,78,Action
movie,Monkeyman935,2010,\N,Horror
movie,Unthinkable,2010,97,Drama
movie,Jackboots on Whitehall,2010,91,Animation
movie,Gangster Kittens,2016,\N,Drama
movie,Periphery,2011,\N,Drama
movie,Victim,2010,90,Horror
movie,The Legend of Tarzan,2016,110,Action
movie,The Happy Housewife,2010,100,Comedy
movie,I Am Not a Bird,2018,\N,Drama
movie,The Dead Undead,2010,89,Action
movie,Truth About Kerry,2010,84,Drama
movie,Pizza with Bullets,2010,99,Comedy
movie,Harry Potter and the Deathly Hallows: Part 1,2010,146,Adventure
movie,Road to Red,2016,120,Action
movie,White Men Can't Dance,2012,105,Drama
movie,The Penthouse,2010,89,Comedy
movie,Deep Gold 3D,2011,86,Action
movie,The Man in the Silo,2016,55,Drama
movie,Jun-09,2018,95,Horror
movie,"Glenn, the Flying Robot",2010,85,Drama
movie,The Waiter,2010,92,Action
movie,Rabbit Hole,2010,91,Drama
movie,Joe Dick,2017,96,Comedy
movie,The Devil's Flower,2010,90,Mystery
movie,The Last Airbender,2010,103,Action
movie,Freaky Deaky,2012,90,Comedy
movie,Silent Hill: Revelation,2012,95,Horror
movie,Arthur 3: The War of the Two Worlds,2010,101,Adventure
movie,White Knuckles,2010,88,Drama
movie,Salt,2010,100,Action
movie,Source Code,2011,93,Mystery
movie,Black Swan,2010,108,Drama
movie,Green Zone,2010,115,Action
movie,The Amazing Spider-Man,2012,136,Action
movie,Coffee Sex You,2014,88,Drama
movie,The Killer Inside Me,2010,109,Crime
movie,Robin Hood,2010,140,Action
movie,Reach Me,2014,95,Comedy
movie,Nine Dead,2010,98,Crime
movie,Heart of Now,2010,90,Drama
movie,Let Me Survive,2013,\N,Drama
movie,Beautiful Darling,2010,85,Documentary
movie,Private Security Officer: Los Angeles,2010,84,Action
movie,"Truth in Numbers? Everything, According to Wikipedia",2010,85,Documentary
movie,Avenge,2014,88,Drama
movie,A Monster in Paris,2011,90,Adventure
movie,Devour,2011,\N,Horror
movie,The Trouble with Cali,2012,\N,Comedy
movie,The House of Sun,2010,110,Drama
movie,Made in Romania,2010,95,Comedy
movie,Feast of the Assumption: BTK and the Otero Family Murders,2010,86,Crime
movie,The Sorcerer's Apprentice,2010,109,Action
movie,The Fighter,2010,116,Biography
movie,Pushin' Up Daisies,2010,87,Comedy
movie,Have You Heard from Johannesburg: Hell of a Job,2010,57,Documentary
movie,Have You Heard from Johannesburg: Road to Resistance,2010,65,Documentary
movie,L'imbroglio nel lenzuolo,2010,105,Comedy
movie,The Conspirator,2010,122,Crime
movie,Little Witch on a Broomstick,2011,90,Animation
movie,Strange Frame: Love & Sax,2012,98,Animation
movie,White Wall,2010,91,Action
movie,Hugo,2011,126,Adventure
movie,Little Fockers,2010,98,Comedy
movie,The Chosen One,2010,101,Comedy
movie,The Reason,2010,70,Drama
movie,Back Roads,2018,101,Drama
movie,Have You Heard from Johannesburg: Fair Play,2010,96,Documentary
movie,Have You Heard from Johannesburg: The Bottom Line,2010,86,Documentary
movie,Lives and Deaths of the Poets,2011,93,Comedy
movie,Headhunter: The Assessment Weekend,2010,93,Thriller
movie,Justice League,2017,120,Action
movie,Black Limousine,2010,102,Drama
movie,Hitchcock,2012,98,Biography
movie,Sinatra Club,2010,88,Action
movie,Boyle Heights,2010,101,Action
movie,Chooriyan,2015,\N,Drama
movie,Fair Game,2010,108,Biography
movie,Sucker Punch,2011,110,Action
movie,Have You Heard from Johannesburg: Free at Last,2010,78,Documentary
movie,Lottery Ticket,2010,99,Comedy
movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113,Adventure
movie,Four,2012,75,Drama
movie,Heredity,2010,\N,Horror
movie,Funkytown,2011,132,Drama
movie,The Unwanted,2013,95,Drama
movie,The Adventures of Tintin,2011,107,Action
movie,You're Nobody 'til Somebody Kills You,2012,86,Horror
movie,El Padrino II: Border Intrusion,2011,90,Crime
movie,A Dance for Grace,2010,\N,Drama
movie,Multiple Sarcasms,2010,97,Drama
movie,Machete,2010,105,Action
movie,The Magic Crystal,2011,80,Adventure
movie,A Flat,2010,103,Drama
movie,The Gainesville Ripper,2010,90,Horror
movie,Dear John,2010,108,Drama
movie,Detention,2010,81,Horror
movie,The Green Hornet,2011,119,Action
movie,The Significant Other,2012,90,Comedy
movie,Hanna,2011,111,Action
movie,The Wolf of Wall Street,2013,180,Biography
movie,Adventure Scouts,2010,83,Action
movie,The Courier,2012,95,Action
movie,The Unforgiven,2011,115,Drama
movie,Pelé: Birth of a Legend,2016,107,Biography
movie,The Extendables,2014,84,Comedy
movie,Legend of the Red Reaper,2013,99,Action
movie,The Slimbones,2014,\N,Animation
movie,Bibliothèque Pascal,2010,105,Drama
movie,The Experiment,2010,96,Drama
movie,Looking for the Lost Tango,2010,90,Documentary
movie,Two Knives,2011,107,Action
movie,Straw Dogs,2011,110,Action
movie,Megamind,2010,95,Action
movie,The Young Messiah,2016,111,Drama
movie,If You Only Knew,2011,106,Drama
movie,Call of Life,2010,60,Documentary
movie,Last Breath,2010,91,Horror
movie,The Iron Lady,2011,105,Biography
movie,Colombian Interviews,2011,\N,Drama
movie,Opal,2010,79,Drama
movie,The Steamroom,2010,91,Comedy
movie,Return of the Atom,2015,110,Documentary
movie,Love Sick Diaries,2010,\N,Drama
movie,Knight and Day,2010,109,Action
movie,Dylan Dog: Dead of Night,2010,107,Action
movie,Alice in Wonderland,2010,108,Adventure
movie,Child 44,2015,137,Crime
movie,Bad Dog and Superhero,2014,72,Comedy
movie,Holy Wars,2010,84,Documentary
movie,Felony Murder,2019,\N,Documentary
movie,The Sisterhood of Night,2014,104,Drama
movie,The Cursed,2010,88,Horror
movie,Pax,2010,75,Drama
movie,Prime of Your Life,2010,93,Comedy
movie,Splintered,2010,85,Horror
movie,The Runaways,2010,106,Biography
movie,The Tortured,2010,79,Horror
movie,Heart Like a Hand Grenade,2015,96,Documentary
movie,Our Brand Is Crisis,2015,107,Comedy
movie,Jeffie Was Here,2010,110,Adventure
movie,Deal,2010,101,Action
movie,Selma,2014,128,Biography
movie,Centurion,2010,97,Action
movie,Patagonia,2010,119,Adventure
movie,The Method,2017,\N,Drama
movie,Certified Copy,2010,106,Drama
movie,Takedowns and Falls,2010,127,Documentary
movie,Babies,2010,79,Documentary
movie,Odd Brodsky,2014,93,Comedy
movie,Deer Season,2015,92,Thriller
movie,Rising Star,2010,98,Drama
movie,The Way Back,2010,133,Adventure
movie,Where's My Stuff?,2011,85,Comedy
movie,Kingshighway,2010,\N,Crime
movie,Programming the Nation?,2011,105,Documentary
movie,Argo,2012,120,Biography
movie,Session,2011,89,Drama
movie,The People I've Slept With,2012,89,Comedy
movie,Gunned Down,2017,95,Action
movie,Palominas,2018,\N,Action
movie,Gemini Man,2019,\N,Action
movie,The Pardon,2013,120,Crime
movie,Dead Americans,2010,\N,Sci-Fi
movie,Kill Speed,2010,113,Action
movie,Wall Street: Money Never Sleeps,2010,133,Drama
movie,Tied in Blood,2012,88,Drama
movie,Asylum Blackout,2011,85,Horror
movie,The Magnificent Eleven,2013,91,Comedy
movie,Secretariat,2010,123,Biography
movie,Krrish 3,2013,152,Action
movie,Poltergeist,2015,93,Horror
movie,Tied to a Chair,2011,94,Comedy
movie,Beautiful Girl,2014,90,Drama
movie,The Warrior's Way,2010,100,Action
movie,Inseparable,2011,97,Drama
movie,The Descendants,2011,115,Comedy
movie,Bad Meat,2011,92,Comedy
movie,Somewhere Tonight,2011,85,Comedy
movie,Iron Sky,2012,93,Action
movie,Cold Skin,2017,108,Adventure
movie,The Eagle,2011,114,Action
movie,Suspiria,2018,152,Fantasy
movie,The Photon Effect,2010,102,Sci-Fi
movie,Women's Studies,2010,96,Horror
movie,Cody the Robosapien,2013,86,Adventure
movie,Everyday,2012,106,Drama
movie,The Book of Eli,2010,118,Action
movie,The King of Fighters,2010,93,Action
movie,Legion,2010,100,Action
movie,The Story of Luke,2012,96,Comedy
movie,The Bounty Hunter,2010,110,Action
movie,Manipulation,2011,90,Drama
movie,Let the Game Begin,2010,110,Comedy
movie,The Nutcracker in 3D,2010,110,Action
movie,Just Inès,2010,90,Drama
movie,The Legend of Hercules,2014,99,Action
movie,Not Another B Movie,2010,87,Comedy
movie,For the Good of Others,2010,107,Drama
movie,Silver Linings Playbook,2012,122,Comedy
movie,Wasteland,2011,80,Action
movie,You and I,2011,100,Drama
movie,Ghost Hoax,2010,108,Horror
movie,Unfinished Song,2012,90,Comedy
movie,Aaj Kal,2010,90,Comedy
movie,Camp Hell,2010,99,Drama
movie,Caris' Peace,2011,76,Documentary
movie,Parental Guidance,2012,105,Comedy
movie,Beyond the Barbed Wire: An Artist View of the Holocaust,2010,68,Documentary
movie,"Girl, Adopted",2013,78,Biography
movie,Howl,2010,84,Biography
movie,Pablo,2012,90,Animation
movie,Chasing Happiness,2012,80,Comedy
movie,The Singularity Is Near,2010,79,Documentary
movie,"Havana, Habana",2017,65,Drama
movie,The Portal,2010,86,Horror
movie,Ivory,2010,84,Drama
movie,Lost Everything,2010,97,Drama
movie,Goosebumps,2015,103,Adventure
movie,Repo Men,2010,111,Action
movie,The Big Year,2011,100,Comedy
movie,Dreams Awake,2011,110,Drama
movie,One Lucky Elephant,2010,84,Documentary
movie,House Broken,2010,84,Comedy
movie,The Best Things in the World,2010,100,Comedy
movie,Life as We Know It,2010,114,Comedy
movie,The Dead Matter,2010,90,Fantasy
